Time;"Instr_Nam";Original_Value;Corrupted_Value;Bit_Position
1482380874075227;"  %214 = getelementptr inbounds double, double* %4, i64 %21";12876752;12876784;5
1482380944592302;"  %167 = getelementptr inbounds double, double* %4, i64 %16";37180616;8627115208;33
1482381013458928;"  %96 = getelementptr inbounds double, double* %5, i64 %6";38849136;38849138;1
1482381446969319;"  %92 = getelementptr inbounds double, double* %2, i64 %9";35638408;549791452296;39
1482381447296393;"  %120 = getelementptr double, double* %phibase_91, i64 %relidx_16";25972168;25972040;7
1482381486543418;"  %222 = getelementptr inbounds double, double* %5, i64 %21";22892640;22893152;9
1482381486884402;"  %222 = getelementptr inbounds double, double* %5, i64 %21";39497824;39498336;9
1482381487218652;"  %81 = getelementptr inbounds double, double* %2, i64 %7";19461240;549775275128;39
1482381487527860;"  %81 = getelementptr inbounds double, double* %2, i64 %7";21206136;549777020024;39
1482381487834946;"  %81 = getelementptr inbounds double, double* %2, i64 %7";32969848;549788783736;39
1482381488143162;"  %130 = getelementptr inbounds double, double* %5, i64 %11";33872176;70368778049840;46
1482381488441920;"  %130 = getelementptr inbounds double, double* %5, i64 %11";26573104;70368770750768;46
1482381488740460;"  %130 = getelementptr inbounds double, double* %5, i64 %11";25119024;70368769296688;46
1482381489039485;"  %180 = getelementptr inbounds double, double* %3, i64 %17";24642680;158860408;27
1482381489368353;"  %180 = getelementptr inbounds double, double* %3, i64 %17";34485368;168703096;27
1482381489694580;"  %180 = getelementptr inbounds double, double* %3, i64 %17";7660664;141878392;27
1482381490024894;"  %104 = getelementptr inbounds double, double* %5, i64 %7";32524720;32524704;4
1482381490362280;"  %104 = getelementptr inbounds double, double* %5, i64 %7";8022448;8022432;4
1482381490697252;"  %104 = getelementptr inbounds double, double* %5, i64 %7";8821168;8821152;4
1482381491037962;"  %222 = getelementptr inbounds double, double* %5, i64 %21";34481984;-9223372036820293824;63
1482381491306719;"  %222 = getelementptr inbounds double, double* %5, i64 %21";7497536;-9223372036847278272;63
1482381491567119;"  %222 = getelementptr inbounds double, double* %5, i64 %21";36177728;-9223372036818598080;63
1482381491827603;"  %222 = getelementptr inbounds double, double* %5, i64 %21";6907712;-9223372036847868096;63
1482381492086477;"  %214 = getelementptr inbounds double, double* %4, i64 %21";20559424;274898466368;38
1482381492347241;"  %214 = getelementptr inbounds double, double* %4, i64 %21";29201984;274907108928;38
1482381492618461;"  %214 = getelementptr inbounds double, double* %4, i64 %21";11482688;274889389632;38
1482381492879477;"  %214 = getelementptr inbounds double, double* %4, i64 %21";32437824;274910344768;38
1482381493144368;"  %86 = getelementptr inbounds double, double* %2, i64 %8";12924848;8602859440;33
1482381493548363;"  %86 = getelementptr inbounds double, double* %2, i64 %8";27428784;8617363376;33
1482381494012054;"  %177 = getelementptr inbounds double, double* %3, i64 %17";21059632;1094801456;30
1482381494373405;"  %177 = getelementptr inbounds double, double* %3, i64 %17";10061872;1083803696;30
1482381494739411;"  %177 = getelementptr inbounds double, double* %3, i64 %17";24627248;1098369072;30
1482381495096688;"  %186 = getelementptr inbounds double, double* %3, i64 %18";32861760;301297216;28
1482381495455506;"  %186 = getelementptr inbounds double, double* %3, i64 %18";31764032;300199488;28
1482381495818179;"  %186 = getelementptr inbounds double, double* %3, i64 %18";25144896;293580352;28
1482381496177113;"  %92 = getelementptr inbounds double, double* %2, i64 %9";33489968;31392816;21
1482381496544522;"  %92 = getelementptr inbounds double, double* %2, i64 %9";32728112;30630960;21
1482381496912907;"  %92 = getelementptr inbounds double, double* %2, i64 %9";39334960;41432112;21
1482381497279837;"  %167 = getelementptr inbounds double, double* %4, i64 %16";9974344;17189843528;34
1482381497562322;"  %167 = getelementptr inbounds double, double* %4, i64 %16";32576072;17212445256;34
1482381497845281;"  %167 = getelementptr inbounds double, double* %4, i64 %16";14393928;17194263112;34
1482381498132359;"  %130 = getelementptr inbounds double, double* %5, i64 %11";27212088;576460752330635576;59
1482381498418396;"  %130 = getelementptr inbounds double, double* %5, i64 %11";12716344;576460752316139832;59
1482381498704595;"  %130 = getelementptr inbounds double, double* %5, i64 %11";14817592;576460752318241080;59
1482381498992926;"  %130 = getelementptr inbounds double, double* %5, i64 %11";25770296;576460752329193784;59
1482381499283140;"  %121 = getelementptr inbounds double, double* %4, i64 %11";11556192;34371294560;35
1482381499618029;"  %121 = getelementptr inbounds double, double* %4, i64 %11";18998624;34378736992;35
1482381499957400;"  %121 = getelementptr inbounds double, double* %4, i64 %11";27432288;34387170656;35
1482381500287523;"  %130 = getelementptr inbounds double, double* %5, i64 %11";25672640;29866944;22
1482381500555197;"  %130 = getelementptr inbounds double, double* %5, i64 %11";16153536;11959232;22
1482381500828738;"  %130 = getelementptr inbounds double, double* %5, i64 %11";28343232;32537536;22
1482381501095169;"  %121 = getelementptr inbounds double, double* %4, i64 %11";27810136;4398074321240;42
1482381501454070;"  %121 = getelementptr inbounds double, double* %4, i64 %11";11147608;4398057658712;42
1482381501812680;"  %121 = getelementptr inbounds double, double* %4, i64 %11";18123096;4398064634200;42
1482381502173557;"  %104 = getelementptr inbounds double, double* %5, i64 %7";39469104;39469105;0
1482381502511145;"  %104 = getelementptr inbounds double, double* %5, i64 %7";34156592;34156593;0
1482381502857559;"  %104 = getelementptr inbounds double, double* %5, i64 %7";13803568;13803569;0
1482381503191469;"  %54 = getelementptr inbounds double, double* %5, i64 %4";35055680;-9223372036819720128;63
1482381503490789;"  %54 = getelementptr inbounds double, double* %5, i64 %4";30976064;-9223372036823799744;63
1482381503787510;"  %54 = getelementptr inbounds double, double* %5, i64 %4";7354432;-9223372036847421376;63
1482381504087172;"  %104 = getelementptr inbounds double, double* %5, i64 %7";12122112;2251799825807360;51
1482381504396682;"  %104 = getelementptr inbounds double, double* %5, i64 %7";33740800;2251799847426048;51
1482381504706818;"  %104 = getelementptr inbounds double, double* %5, i64 %7";29714432;2251799843399680;51
1482381505013707;"  %121 = getelementptr inbounds double, double* %4, i64 %11";27463928;4322431224;32
