exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1482381447296393,"  %120 = getelementptr double# double* %phibase_91# i64 %relidx_16",25972168,25972040,7,1,0,0,0,6.88699011931e+16,5444100,2
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
1482381524307682,"  %79 = getelementptr double# double* %phibase_13# i64 %relidx_14",16949432,16949436,2,1,0,0,0,210078224.433,5444100,2
1482381524646521,"  %79 = getelementptr double# double* %phibase_13# i64 %relidx_14",35627192,35627196,2,1,0,0,0,210078224.433,5444100,2
1482381524986218,"  %79 = getelementptr double# double* %phibase_13# i64 %relidx_14",11317432,11317436,2,1,0,0,0,210078224.433,5444100,2
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
Not Available,,,,,0,0,1,0,1.0,5444100,0
