Time;"Instr_Nam";Original_Value;Corrupted_Value;Bit_Position
1482529420062379;"  %74 = getelementptr inbounds double, double* %0, i64 %7";38317928;2251799852003176;51
1482529420427139;"  %69 = getelementptr double, double* %phibase_17, i64 %relidx_8";38334560;2251799852019808;51
1482529428045423;"  %70 = getelementptr inbounds double, double* %2, i64 %6";26473968;26473976;3
1482529428418139;"  %69 = getelementptr double, double* %phibase_17, i64 %relidx_8";14862864;14862872;3
1482529430540276;"  %80 = getelementptr inbounds double, double* %1, i64 %7";26010824;9007199280751816;53
1482529430885680;"  %79 = getelementptr double, double* %phibase_43, i64 %relidx_9";37757848;9007199292498840;53
1482529432570253;"  %76 = getelementptr inbounds double, double* %0, i64 %7";11059448;279494904;28
1482529432911993;"  %46 = getelementptr double, double* %castinttoptr3, i64 %relidx_8";22665528;291100984;28
1482534105060709;"  %535 = getelementptr inbounds double, double* %2, i64 %53";22864944;68742341680;36
1482534105661356;"  %445 = getelementptr double, double* %castinttoptr222, i64 %relidx_48";22006296;68741483032;36
1482534133027542;"  %501 = getelementptr inbounds double, double* %1, i64 %49";15624888;13527736;21
1482534133436165;"  %501 = getelementptr inbounds double, double* %1, i64 %49";21179064;23276216;21
1482534133813919;"  %501 = getelementptr inbounds double, double* %1, i64 %49";36723384;34626232;21
1482534134184772;"  %491 = getelementptr inbounds double, double* %0, i64 %48";28593240;28331096;18
1482534134547727;"  %491 = getelementptr inbounds double, double* %0, i64 %48";20159576;20421720;18
1482534134916557;"  %491 = getelementptr inbounds double, double* %0, i64 %48";27720792;27458648;18
1482534135270208;"  %217 = getelementptr inbounds double, double* %2, i64 %21";28897112;1125899935739736;50
1482534135731628;"  %217 = getelementptr inbounds double, double* %2, i64 %21";28626776;1125899935469400;50
1482534136152168;"  %485 = getelementptr inbounds double, double* %2, i64 %48";8485896;8469512;14
1482534136514636;"  %485 = getelementptr inbounds double, double* %2, i64 %48";6618120;6601736;14
1482534136977630;"  %59 = getelementptr double, double* %castinttoptr3, i64 %relidx_41";21513696;21497312;14
1482534137449751;"  %503 = getelementptr double, double* %castinttoptr237, i64 %relidx_49";25392896;281475002103552;48
1482534137814846;"  %503 = getelementptr double, double* %castinttoptr237, i64 %relidx_49";17315584;281474994026240;48
1482534138195408;"  %192 = getelementptr double, double* %phibase_291, i64 %relidx_43";24871904;274902778848;38
1482534138603522;"  %192 = getelementptr double, double* %phibase_291, i64 %relidx_43";10908640;274888815584;38
1482534139027558;"  %59 = getelementptr double, double* %castinttoptr3, i64 %relidx_41";18097464;70368762275128;46
1482534139478543;"  %59 = getelementptr double, double* %castinttoptr3, i64 %relidx_41";18527544;70368762705208;46
1482534139914561;"  %59 = getelementptr double, double* %castinttoptr3, i64 %relidx_41";28374328;70368772551992;46
1482534140340237;"  %189 = getelementptr double, double* %phibase_23, i64 %relidx_43";19836328;556707240;29
1482534140733143;"  %189 = getelementptr double, double* %phibase_23, i64 %relidx_43";28794280;565665192;29
