Time;"Instr_Nam";Original_Value;Corrupted_Value;Bit_Position
1482451417714245;"  %53 = getelementptr inbounds double, double* %1, i64 %5";12591456;146809184;27
1482451417873413;"  %53 = getelementptr inbounds double, double* %1, i64 %5";19300704;153518432;27
1482451418023966;"  %48 = getelementptr inbounds double, double* %1, i64 %4";9466112;18014398518948096;54
1482451418173779;"  %48 = getelementptr inbounds double, double* %1, i64 %4";24305920;18014398533787904;54
1482451418321102;"  %48 = getelementptr inbounds double, double* %1, i64 %4";37912832;18014398547394816;54
1482451418467317;"  %48 = getelementptr inbounds double, double* %1, i64 %4";16113920;18014398525595904;54
1482451418618469;"  %48 = getelementptr inbounds double, double* %1, i64 %4";26390784;18014398535872768;54
1482451418769778;"  %48 = getelementptr inbounds double, double* %1, i64 %4";14467328;18014398523949312;54
1482451418922860;"  %48 = getelementptr inbounds double, double* %1, i64 %4";26960128;18014398536442112;54
1482451419069992;"  %53 = getelementptr inbounds double, double* %1, i64 %5";8052832;8052834;1
1482451419087818;"  %53 = getelementptr inbounds double, double* %1, i64 %5";37650528;37650530;1
1482451419102712;"  %53 = getelementptr inbounds double, double* %1, i64 %5";32014432;32014434;1
1482451419121071;"  %53 = getelementptr inbounds double, double* %1, i64 %5";23912544;23912546;1
1482451419137204;"  %53 = getelementptr inbounds double, double* %1, i64 %5";22253664;22253666;1
1482451419155716;"  %53 = getelementptr inbounds double, double* %1, i64 %5";33914976;33914978;1
1482451419172651;"  %53 = getelementptr inbounds double, double* %1, i64 %5";24449120;24449122;1
1482451419188696;"  %53 = getelementptr inbounds double, double* %1, i64 %5";24846432;24846434;1
1482451419203730;"  %53 = getelementptr inbounds double, double* %1, i64 %5";25960544;25960546;1
1482451419222859;"  %53 = getelementptr inbounds double, double* %1, i64 %5";22470752;22470754;1
1482451419239791;"  %53 = getelementptr inbounds double, double* %1, i64 %5";15282272;15282274;1
1482451419255351;"  %53 = getelementptr inbounds double, double* %1, i64 %5";19296352;19296354;1
1482451419274013;"  %53 = getelementptr inbounds double, double* %1, i64 %5";24277088;24277090;1
