exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
1482451427169985,"  %57 = getelementptr double# double* %castinttoptr27# i64 %relidx_5",8934032,8942224,13,1,0,0,0,0.032303,19208,2
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
1482451427487095,"  %57 = getelementptr double# double* %castinttoptr27# i64 %relidx_5",12239504,12247696,13,1,0,0,0,0.032303,19208,2
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
1482451427800688,"  %57 = getelementptr double# double* %castinttoptr27# i64 %relidx_5",23970448,23978640,13,1,0,0,0,0.032303,19208,2
1482451427817309,"  %57 = getelementptr double# double* %castinttoptr27# i64 %relidx_5",22217360,22225552,13,1,0,0,0,0.032303,19208,2
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
Not Available,,,,,0,0,1,0,1.0,19208,0
