exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,19206,0
Not Available,,,,,0,0,1,0,1.0,19206,0
Not Available,,,,,0,0,1,0,1.0,19206,0
Not Available,,,,,0,0,1,0,1.0,19206,0
Not Available,,,,,0,0,1,0,1.0,19206,0
Not Available,,,,,0,0,1,0,1.0,19206,0
Not Available,,,,,0,0,1,0,1.0,19206,0
Not Available,,,,,0,0,1,0,1.0,19206,0
Not Available,,,,,0,0,1,0,1.0,19206,0
1482451419069992,"  %53 = getelementptr inbounds double# double* %1# i64 %5",8052832,8052834,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419087818,"  %53 = getelementptr inbounds double# double* %1# i64 %5",37650528,37650530,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419102712,"  %53 = getelementptr inbounds double# double* %1# i64 %5",32014432,32014434,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419121071,"  %53 = getelementptr inbounds double# double* %1# i64 %5",23912544,23912546,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419137204,"  %53 = getelementptr inbounds double# double* %1# i64 %5",22253664,22253666,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419155716,"  %53 = getelementptr inbounds double# double* %1# i64 %5",33914976,33914978,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419172651,"  %53 = getelementptr inbounds double# double* %1# i64 %5",24449120,24449122,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419188696,"  %53 = getelementptr inbounds double# double* %1# i64 %5",24846432,24846434,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419203730,"  %53 = getelementptr inbounds double# double* %1# i64 %5",25960544,25960546,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419222859,"  %53 = getelementptr inbounds double# double* %1# i64 %5",22470752,22470754,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419239791,"  %53 = getelementptr inbounds double# double* %1# i64 %5",15282272,15282274,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419255351,"  %53 = getelementptr inbounds double# double* %1# i64 %5",19296352,19296354,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419274013,"  %53 = getelementptr inbounds double# double* %1# i64 %5",24277088,24277090,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419289891,"  %53 = getelementptr inbounds double# double* %1# i64 %5",16031840,16031842,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419308010,"  %53 = getelementptr inbounds double# double* %1# i64 %5",10932320,10932322,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419324225,"  %53 = getelementptr inbounds double# double* %1# i64 %5",24748128,24748130,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419340998,"  %53 = getelementptr inbounds double# double* %1# i64 %5",33665120,33665122,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419356726,"  %53 = getelementptr inbounds double# double* %1# i64 %5",26644576,26644578,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419374674,"  %53 = getelementptr inbounds double# double* %1# i64 %5",12673120,12673122,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419391702,"  %53 = getelementptr inbounds double# double* %1# i64 %5",30376032,30376034,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419408931,"  %53 = getelementptr inbounds double# double* %1# i64 %5",35250272,35250274,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419425983,"  %53 = getelementptr inbounds double# double* %1# i64 %5",16953440,16953442,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419441956,"  %53 = getelementptr inbounds double# double* %1# i64 %5",34639968,34639970,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419459282,"  %53 = getelementptr inbounds double# double* %1# i64 %5",14991456,14991458,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419474603,"  %53 = getelementptr inbounds double# double* %1# i64 %5",26161248,26161250,1,1,0,0,0,1.20176325523e+190,19206,0
1482451419493304,"  %53 = getelementptr inbounds double# double* %1# i64 %5",16216160,16216162,1,1,0,0,0,1.20176325523e+190,19206,0
