Time;"Instr_Nam";Original_Value;Corrupted_Value;Bit_Position
1482452518938996;"  %31 = getelementptr inbounds double, double* %2, i64 %2";25318192;25318160;5
1482452518953567;"  %31 = getelementptr inbounds double, double* %2, i64 %2";22147888;22147856;5
1482452518966235;"  %31 = getelementptr inbounds double, double* %2, i64 %2";11871024;11870992;5
1482452518978641;"  %31 = getelementptr inbounds double, double* %2, i64 %2";16225072;16225040;5
1482452518994201;"  %31 = getelementptr inbounds double, double* %2, i64 %2";21148464;21148432;5
1482452519006859;"  %22 = getelementptr inbounds double, double* %1, i64 %2";20754608;35184392843440;45
1482452519158176;"  %22 = getelementptr inbounds double, double* %1, i64 %2";13807792;35184385896624;45
1482452519307999;"  %22 = getelementptr inbounds double, double* %1, i64 %2";18964656;35184391053488;45
1482452519453473;"  %22 = getelementptr inbounds double, double* %1, i64 %2";19361968;35184391450800;45
1482452519600385;"  %22 = getelementptr inbounds double, double* %1, i64 %2";28025008;35184400113840;45
1482452519747118;"  %22 = getelementptr inbounds double, double* %1, i64 %2";25624752;35184397713584;45
1482452519893604;"  %22 = getelementptr inbounds double, double* %1, i64 %2";22155440;35184394244272;45
1482452520046244;"  %31 = getelementptr inbounds double, double* %2, i64 %2";32195336;68751672072;36
1482452520194767;"  %31 = getelementptr inbounds double, double* %2, i64 %2";37286664;68756763400;36
1482452520343033;"  %31 = getelementptr inbounds double, double* %2, i64 %2";36008712;68755485448;36
1482452520488801;"  %31 = getelementptr inbounds double, double* %2, i64 %2";16663304;68736140040;36
1482452520634695;"  %31 = getelementptr inbounds double, double* %2, i64 %2";28418824;68747895560;36
1482452520783742;"  %31 = getelementptr inbounds double, double* %2, i64 %2";13202184;68732678920;36
1482452520932918;"  %31 = getelementptr inbounds double, double* %2, i64 %2";18752264;68738229000;36
1482452521080587;"  %16 = getelementptr inbounds double, double* %1, i64 %1";34066648;34050264;14
1482452521227125;"  %16 = getelementptr inbounds double, double* %1, i64 %1";13557976;13541592;14
1482452521379002;"  %16 = getelementptr inbounds double, double* %1, i64 %1";7889112;7872728;14
1482452521525683;"  %16 = getelementptr inbounds double, double* %1, i64 %1";13988056;13971672;14
1482452521672212;"  %16 = getelementptr inbounds double, double* %1, i64 %1";20369624;20353240;14
1482452521820027;"  %16 = getelementptr inbounds double, double* %1, i64 %1";21422296;21405912;14
1482452521969430;"  %16 = getelementptr inbounds double, double* %1, i64 %1";25469144;25485528;14
1482452521988156;"  %16 = getelementptr inbounds double, double* %1, i64 %1";12349656;12333272;14
1482452522143329;"  %31 = getelementptr inbounds double, double* %2, i64 %2";19690056;1125899926532680;50
1482452522298043;"  %31 = getelementptr inbounds double, double* %2, i64 %2";18285128;1125899925127752;50
1482452522443847;"  %31 = getelementptr inbounds double, double* %2, i64 %2";20070984;1125899926913608;50
1482452522589474;"  %31 = getelementptr inbounds double, double* %2, i64 %2";8782408;1125899915625032;50
1482452522736504;"  %31 = getelementptr inbounds double, double* %2, i64 %2";7701064;1125899914543688;50
1482452522881727;"  %31 = getelementptr inbounds double, double* %2, i64 %2";35615304;1125899942457928;50
1482452523031590;"  %31 = getelementptr inbounds double, double* %2, i64 %2";10994656;2199034250208;41
1482452523181117;"  %31 = getelementptr inbounds double, double* %2, i64 %2";18543584;2199041799136;41
1482452523329502;"  %31 = getelementptr inbounds double, double* %2, i64 %2";17609696;2199040865248;41
1482452523477066;"  %31 = getelementptr inbounds double, double* %2, i64 %2";24232928;2199047488480;41
1482452523624489;"  %31 = getelementptr inbounds double, double* %2, i64 %2";20415456;2199043671008;41
1482452523770949;"  %31 = getelementptr inbounds double, double* %2, i64 %2";33670112;2199056925664;41
1482452523916409;"  %31 = getelementptr inbounds double, double* %2, i64 %2";28386272;2199051641824;41
1482452524065098;"  %31 = getelementptr inbounds double, double* %2, i64 %2";31249008;31248976;5
1482452524079672;"  %31 = getelementptr inbounds double, double* %2, i64 %2";22217328;22217296;5
1482452524097912;"  %31 = getelementptr inbounds double, double* %2, i64 %2";35156592;35156560;5
1482452524114910;"  %31 = getelementptr inbounds double, double* %2, i64 %2";9405040;9405008;5
1482452524127931;"  %31 = getelementptr inbounds double, double* %2, i64 %2";34484848;34484816;5
1482452524144419;"  %31 = getelementptr inbounds double, double* %2, i64 %2";8553072;8553040;5
1482452524158696;"  %31 = getelementptr inbounds double, double* %2, i64 %2";35197552;35197520;5
1482452524175598;"  %31 = getelementptr inbounds double, double* %2, i64 %2";11481712;11481680;5
1482452524188695;"  %31 = getelementptr inbounds double, double* %2, i64 %2";30098032;30098000;5
1482452524202391;"  %31 = getelementptr inbounds double, double* %2, i64 %2";30650992;30650960;5
1482452524216415;"  %31 = getelementptr inbounds double, double* %2, i64 %2";10867312;10867280;5
1482452524232102;"  %31 = getelementptr inbounds double, double* %2, i64 %2";16831088;16831056;5
1482452524246554;"  %31 = getelementptr inbounds double, double* %2, i64 %2";19763824;19763792;5
1482452524265319;"  %31 = getelementptr inbounds double, double* %2, i64 %2";15966832;15966800;5
1482452524280187;"  %31 = getelementptr inbounds double, double* %2, i64 %2";29389424;29389392;5
1482452524297291;"  %31 = getelementptr inbounds double, double* %2, i64 %2";33100400;33100368;5
1482452524311812;"  %31 = getelementptr inbounds double, double* %2, i64 %2";11309680;11309648;5
1482452524328269;"  %31 = getelementptr inbounds double, double* %2, i64 %2";18633328;18633296;5
