exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1482452525269336,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",37798320,37806512,13,1,0,0,0,0.952078,23426,2
Not Available,,,,,0,0,1,0,1.0,23426,0
1482452525439152,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",19812784,19820976,13,1,0,0,0,0.952078,23426,2
Not Available,,,,,0,0,1,0,1.0,23426,0
Not Available,,,,,0,0,1,0,1.0,23426,0
1482452525754042,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",21336496,21344688,13,1,0,0,0,0.952078,23426,2
Not Available,,,,,0,0,1,0,1.0,23426,0
1482452525924415,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",7147952,7156144,13,1,0,0,0,0.952078,23426,2
1482452525943455,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",30921136,30929328,13,1,0,0,0,0.952078,23426,2
Not Available,,,,,0,0,1,0,1.0,23426,0
Not Available,,,,,0,0,1,0,1.0,23426,0
Not Available,,,,,0,0,1,0,1.0,23426,0
Not Available,,,,,0,0,1,0,1.0,23426,0
Not Available,,,,,0,0,1,0,1.0,23426,0
Not Available,,,,,0,0,1,0,1.0,23426,0
Not Available,,,,,0,0,1,0,1.0,23426,0
1482452527014086,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",12357864,12357868,2,1,0,0,0,2.66975673007e+306,23426,2
1482452527038883,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",35741928,35741932,2,1,0,0,0,2.66975673007e+306,23426,2
1482452527059660,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",10825960,10825964,2,1,0,0,0,2.66975673007e+306,23426,2
1482452527078468,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",13160680,13160684,2,1,0,0,0,2.66975673007e+306,23426,2
1482452527098837,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",25694440,25694444,2,1,0,0,0,2.66975673007e+306,23426,2
1482452527119500,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",24396008,24396012,2,1,0,0,0,2.66975673007e+306,23426,2
1482452527138659,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",18383080,18383084,2,1,0,0,0,2.66975673007e+306,23426,2
1482452527160108,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",19747048,19747052,2,1,0,0,0,2.66975673007e+306,23426,2
1482452527180499,"  %21 = getelementptr double# double* %castinttoptr3# i64 %relidx_2",18620648,18620652,2,1,0,0,0,2.66975673007e+306,23426,2
