exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1482452518938996,"  %31 = getelementptr inbounds double# double* %2# i64 %2",25318192,25318160,5,1,0,0,0,0.005729,23424,0
1482452518953567,"  %31 = getelementptr inbounds double# double* %2# i64 %2",22147888,22147856,5,1,0,0,0,0.005729,23424,0
1482452518966235,"  %31 = getelementptr inbounds double# double* %2# i64 %2",11871024,11870992,5,1,0,0,0,0.005729,23424,0
1482452518978641,"  %31 = getelementptr inbounds double# double* %2# i64 %2",16225072,16225040,5,1,0,0,0,0.005729,23424,0
1482452518994201,"  %31 = getelementptr inbounds double# double* %2# i64 %2",21148464,21148432,5,1,0,0,0,0.005729,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
1482452521969430,"  %16 = getelementptr inbounds double# double* %1# i64 %1",25469144,25485528,14,1,0,0,0,0.043375,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
Not Available,,,,,0,0,1,0,1.0,23424,0
1482452524065098,"  %31 = getelementptr inbounds double# double* %2# i64 %2",31249008,31248976,5,1,0,0,0,0.005536,23424,0
1482452524079672,"  %31 = getelementptr inbounds double# double* %2# i64 %2",22217328,22217296,5,1,0,0,0,0.005536,23424,0
1482452524097912,"  %31 = getelementptr inbounds double# double* %2# i64 %2",35156592,35156560,5,1,0,0,0,0.005536,23424,0
1482452524114910,"  %31 = getelementptr inbounds double# double* %2# i64 %2",9405040,9405008,5,1,0,0,0,0.005536,23424,0
1482452524127931,"  %31 = getelementptr inbounds double# double* %2# i64 %2",34484848,34484816,5,1,0,0,0,0.005536,23424,0
