Time;"Instr_Nam";Original_Value;Corrupted_Value;Bit_Position
1482462947711624;"  %41 = getelementptr inbounds double, double* %0, i64 %3";13334256;13203184;17
1482462947937412;"  %41 = getelementptr inbounds double, double* %0, i64 %3";33617648;33748720;17
1482462947975274;"  %41 = getelementptr inbounds double, double* %0, i64 %3";23709424;23840496;17
1482462948018816;"  %37 = getelementptr inbounds double, double* %0, i64 %3";8334480;8332432;11
1482462948055011;"  %37 = getelementptr inbounds double, double* %0, i64 %3";24915088;24913040;11
1482462948092522;"  %37 = getelementptr inbounds double, double* %0, i64 %3";38730896;38728848;11
1482462948129297;"  %37 = getelementptr inbounds double, double* %0, i64 %3";30235792;30233744;11
1482462948170600;"  %37 = getelementptr inbounds double, double* %0, i64 %3";15936656;15934608;11
1482462948211101;"  %37 = getelementptr inbounds double, double* %0, i64 %3";7945360;7943312;11
1482462948249738;"  %37 = getelementptr inbounds double, double* %0, i64 %3";18132112;18130064;11
1482462948292567;"  %37 = getelementptr inbounds double, double* %0, i64 %3";20860048;20858000;11
1482462948329817;"  %37 = getelementptr inbounds double, double* %0, i64 %3";15543440;15541392;11
1482462948366991;"  %37 = getelementptr inbounds double, double* %0, i64 %3";32873616;32871568;11
1482462948405710;"  %37 = getelementptr inbounds double, double* %0, i64 %3";37518480;37516432;11
1482462948443625;"  %37 = getelementptr inbounds double, double* %0, i64 %3";9505936;9503888;11
1482462948480803;"  %37 = getelementptr inbounds double, double* %0, i64 %3";8817808;8815760;11
1482462948518712;"  %37 = getelementptr inbounds double, double* %0, i64 %3";23305360;23303312;11
1482462948560999;"  %37 = getelementptr inbounds double, double* %0, i64 %3";39181456;39179408;11
1482462948598548;"  %37 = getelementptr inbounds double, double* %0, i64 %3";31415440;31413392;11
1482462948636911;"  %37 = getelementptr inbounds double, double* %0, i64 %3";27098256;27096208;11
1482462948676510;"  %37 = getelementptr inbounds double, double* %0, i64 %3";33709200;33707152;11
1482462948716645;"  %37 = getelementptr inbounds double, double* %0, i64 %3";39353488;39351440;11
1482462948755574;"  %37 = getelementptr inbounds double, double* %0, i64 %3";36953232;36951184;11
1482462948795452;"  %37 = getelementptr inbounds double, double* %0, i64 %3";35110032;35107984;11
1482462948834852;"  %37 = getelementptr inbounds double, double* %0, i64 %3";28232848;28230800;11
1482462948876532;"  %37 = getelementptr inbounds double, double* %0, i64 %3";23739536;23737488;11
1482462948914505;"  %37 = getelementptr inbounds double, double* %0, i64 %3";12049552;12047504;11
1482462948955951;"  %37 = getelementptr inbounds double, double* %0, i64 %3";14666896;14664848;11
1482462948999706;"  %37 = getelementptr inbounds double, double* %0, i64 %3";20884624;20882576;11
1482462949041464;"  %37 = getelementptr inbounds double, double* %0, i64 %3";17986208;36028797036950176;55
1482462949195469;"  %37 = getelementptr inbounds double, double* %0, i64 %3";27771552;36028797046735520;55
1482462949349152;"  %37 = getelementptr inbounds double, double* %0, i64 %3";14611104;36028797033575072;55
1482462949501295;"  %37 = getelementptr inbounds double, double* %0, i64 %3";29332128;36028797048296096;55
1482462949653483;"  %37 = getelementptr inbounds double, double* %0, i64 %3";33215136;36028797052179104;55
