exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,174784,0
Not Available,,,,,0,0,1,0,1.0,174784,0
Not Available,,,,,0,0,1,0,1.0,174784,0
Not Available,,,,,0,0,1,0,1.0,174784,0
Not Available,,,,,0,0,1,0,1.0,174784,0
Not Available,,,,,0,0,1,0,1.0,174784,0
Not Available,,,,,0,0,1,0,1.0,174784,0
Not Available,,,,,0,0,1,0,1.0,174784,0
Not Available,,,,,0,0,1,0,1.0,174784,0
Not Available,,,,,0,0,1,0,1.0,174784,0
Not Available,,,,,0,0,1,0,1.0,233466,0
Not Available,,,,,0,0,1,0,1.0,233466,0
Not Available,,,,,0,0,1,0,1.0,233466,0
Not Available,,,,,0,0,1,0,1.0,233466,0
Not Available,,,,,0,0,1,0,1.0,233466,0
Not Available,,,,,0,0,1,0,1.0,233466,0
Not Available,,,,,0,0,1,0,1.0,233466,0
Not Available,,,,,0,0,1,0,1.0,233466,0
Not Available,,,,,0,0,1,0,1.0,233466,0
Not Available,,,,,0,0,1,0,1.0,233466,0
1482463736481928,"  %145 = getelementptr double# double* %phibase_31# i64 %relidx_8",29568808,29566760,11,0,1,0,0,0.0,233466,2
1482463736569542,"  %145 = getelementptr double# double* %phibase_31# i64 %relidx_8",15712040,15709992,11,0,1,0,0,0.0,233466,2
1482463736655392,"  %145 = getelementptr double# double* %phibase_31# i64 %relidx_8",34795304,34793256,11,0,1,0,0,0.0,233466,2
1482463736746960,"  %145 = getelementptr double# double* %phibase_31# i64 %relidx_8",13844264,13842216,11,0,1,0,0,0.0,233466,2
1482463736838681,"  %145 = getelementptr double# double* %phibase_31# i64 %relidx_8",38829864,38827816,11,0,1,0,0,0.0,233466,2
1482463736928746,"  %145 = getelementptr double# double* %phibase_31# i64 %relidx_8",21884712,21882664,11,0,1,0,0,0.0,233466,2
Not Available,,,,,0,0,1,0,1.0,233466,0
1482463737237009,"  %145 = getelementptr double# double* %phibase_31# i64 %relidx_8",38720896,38786432,16,1,0,0,0,inf,233466,2
1482463737328620,"  %145 = getelementptr double# double* %phibase_31# i64 %relidx_8",19678592,19744128,16,1,0,0,0,inf,233466,2
Not Available,,,,,0,0,1,0,1.0,233466,0
1482463737645413,"  %145 = getelementptr double# double* %phibase_31# i64 %relidx_8",15611264,15676800,16,1,0,0,0,inf,233466,2
1482463737737556,"  %145 = getelementptr double# double* %phibase_31# i64 %relidx_8",15631744,15697280,16,1,0,0,0,inf,233466,2
1482463737831325,"  %145 = getelementptr double# double* %phibase_31# i64 %relidx_8",38712704,38778240,16,1,0,0,0,inf,233466,2
1482463737917692,"  %145 = getelementptr double# double* %phibase_31# i64 %relidx_8",35186048,35251584,16,1,0,0,0,inf,233466,2
Not Available,,,,,0,0,1,0,1.0,233466,0
Not Available,,,,,0,0,1,0,1.0,233466,0
Not Available,,,,,0,0,1,0,1.0,233466,0
Not Available,,,,,0,0,1,0,1.0,233466,0
