exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,174783,0
1482462947937412,"  %41 = getelementptr inbounds double# double* %0# i64 %3",33617648,33748720,17,0,1,0,0,0.0,174783,0
1482462947975274,"  %41 = getelementptr inbounds double# double* %0# i64 %3",23709424,23840496,17,0,1,0,0,0.0,174783,0
1482462948018816,"  %37 = getelementptr inbounds double# double* %0# i64 %3",8334480,8332432,11,0,1,0,0,0.0,174783,0
1482462948055011,"  %37 = getelementptr inbounds double# double* %0# i64 %3",24915088,24913040,11,0,1,0,0,0.0,174783,0
1482462948092522,"  %37 = getelementptr inbounds double# double* %0# i64 %3",38730896,38728848,11,0,1,0,0,0.0,174783,0
1482462948129297,"  %37 = getelementptr inbounds double# double* %0# i64 %3",30235792,30233744,11,0,1,0,0,0.0,174783,0
1482462948170600,"  %37 = getelementptr inbounds double# double* %0# i64 %3",15936656,15934608,11,0,1,0,0,0.0,174783,0
1482462948211101,"  %37 = getelementptr inbounds double# double* %0# i64 %3",7945360,7943312,11,0,1,0,0,0.0,174783,0
1482462948249738,"  %37 = getelementptr inbounds double# double* %0# i64 %3",18132112,18130064,11,0,1,0,0,0.0,174783,0
1482462948292567,"  %37 = getelementptr inbounds double# double* %0# i64 %3",20860048,20858000,11,0,1,0,0,0.0,174783,0
1482462948329817,"  %37 = getelementptr inbounds double# double* %0# i64 %3",15543440,15541392,11,0,1,0,0,0.0,174783,0
1482462948366991,"  %37 = getelementptr inbounds double# double* %0# i64 %3",32873616,32871568,11,0,1,0,0,0.0,174783,0
1482462948405710,"  %37 = getelementptr inbounds double# double* %0# i64 %3",37518480,37516432,11,0,1,0,0,0.0,174783,0
1482462948443625,"  %37 = getelementptr inbounds double# double* %0# i64 %3",9505936,9503888,11,0,1,0,0,0.0,174783,0
1482462948480803,"  %37 = getelementptr inbounds double# double* %0# i64 %3",8817808,8815760,11,0,1,0,0,0.0,174783,0
1482462948518712,"  %37 = getelementptr inbounds double# double* %0# i64 %3",23305360,23303312,11,0,1,0,0,0.0,174783,0
1482462948560999,"  %37 = getelementptr inbounds double# double* %0# i64 %3",39181456,39179408,11,0,1,0,0,0.0,174783,0
1482462948598548,"  %37 = getelementptr inbounds double# double* %0# i64 %3",31415440,31413392,11,0,1,0,0,0.0,174783,0
1482462948636911,"  %37 = getelementptr inbounds double# double* %0# i64 %3",27098256,27096208,11,0,1,0,0,0.0,174783,0
1482462948676510,"  %37 = getelementptr inbounds double# double* %0# i64 %3",33709200,33707152,11,0,1,0,0,0.0,174783,0
1482462948716645,"  %37 = getelementptr inbounds double# double* %0# i64 %3",39353488,39351440,11,0,1,0,0,0.0,174783,0
1482462948755574,"  %37 = getelementptr inbounds double# double* %0# i64 %3",36953232,36951184,11,0,1,0,0,0.0,174783,0
1482462948795452,"  %37 = getelementptr inbounds double# double* %0# i64 %3",35110032,35107984,11,0,1,0,0,0.0,174783,0
1482462948834852,"  %37 = getelementptr inbounds double# double* %0# i64 %3",28232848,28230800,11,0,1,0,0,0.0,174783,0
