Time;"Instr_Nam";Original_Value;Corrupted_Value;Bit_Position
1482463437416180;"  %41 = getelementptr inbounds double, double* %0, i64 %3";10282640;12379792;21
1482463437569695;"  %41 = getelementptr inbounds double, double* %0, i64 %3";30443152;32540304;21
1482463437723085;"  %41 = getelementptr inbounds double, double* %0, i64 %3";15775376;13678224;21
1482463437876667;"  %41 = getelementptr inbounds double, double* %0, i64 %3";38467216;40564368;21
1482463438034459;"  %41 = getelementptr inbounds double, double* %0, i64 %3";6558368;8796099580576;43
1482463438188923;"  %41 = getelementptr inbounds double, double* %0, i64 %3";31883936;8796124906144;43
1482463438342501;"  %41 = getelementptr inbounds double, double* %0, i64 %3";37081760;8796130103968;43
1482463438498682;"  %41 = getelementptr inbounds double, double* %0, i64 %3";27542176;8796120564384;43
1482463438654005;"  %41 = getelementptr inbounds double, double* %0, i64 %3";19796640;8796112818848;43
1482463438810338;"  %41 = getelementptr inbounds double, double* %0, i64 %3";15737504;8796108759712;43
1482463439042358;"  %40 = getelementptr double, double* %castinttoptr9, i64 %relidx_2";33289736;1107031560;30
1482463439198765;"  %40 = getelementptr double, double* %castinttoptr9, i64 %relidx_2";32818696;1106560520;30
1482463439353597;"  %40 = getelementptr double, double* %castinttoptr9, i64 %relidx_2";38589960;1112331784;30
1482463439509996;"  %40 = getelementptr double, double* %castinttoptr9, i64 %relidx_2";38307336;1112049160;30
1482463439665137;"  %40 = getelementptr double, double* %castinttoptr9, i64 %relidx_2";28104200;1101846024;30
1482463439820784;"  %40 = getelementptr double, double* %castinttoptr9, i64 %relidx_2";28419592;1102161416;30
1482463439976132;"  %40 = getelementptr double, double* %castinttoptr9, i64 %relidx_2";18355720;1092097544;30
1482463440137398;"  %36 = getelementptr double, double* %phibase_15, i64 %relidx_2";16118608;1152921504622965584;60
1482463440293177;"  %36 = getelementptr double, double* %phibase_15, i64 %relidx_2";39859024;1152921504646706000;60
1482463440450962;"  %36 = getelementptr double, double* %phibase_15, i64 %relidx_2";18969424;1152921504625816400;60
1482463568445250;"  %37 = getelementptr inbounds double, double* %0, i64 %3";16055000;9007199270795992;53
1482463568597481;"  %37 = getelementptr inbounds double, double* %0, i64 %3";14232280;9007199268973272;53
1482463568749822;"  %37 = getelementptr inbounds double, double* %0, i64 %3";23022296;9007199277763288;53
1482463568902731;"  %37 = getelementptr inbounds double, double* %0, i64 %3";30657240;9007199285398232;53
1482463569057359;"  %41 = getelementptr inbounds double, double* %0, i64 %3";15398096;15398608;9
1482463569092052;"  %41 = getelementptr inbounds double, double* %0, i64 %3";8180944;8181456;9
1482463569126318;"  %41 = getelementptr inbounds double, double* %0, i64 %3";33453264;33453776;9
1482463569161361;"  %41 = getelementptr inbounds double, double* %0, i64 %3";17913040;17913552;9
1482463569196558;"  %41 = getelementptr inbounds double, double* %0, i64 %3";15267024;15267536;9
1482463569232194;"  %41 = getelementptr inbounds double, double* %0, i64 %3";18351312;18351824;9
1482463569267286;"  %41 = getelementptr inbounds double, double* %0, i64 %3";10347728;10348240;9
1482463569302926;"  %41 = getelementptr inbounds double, double* %0, i64 %3";38188240;38188752;9
1482463569338623;"  %41 = getelementptr inbounds double, double* %0, i64 %3";13452496;13453008;9
1482463569372948;"  %41 = getelementptr inbounds double, double* %0, i64 %3";34800848;34801360;9
1482463569410920;"  %41 = getelementptr inbounds double, double* %0, i64 %3";33174736;33175248;9
1482463569447116;"  %41 = getelementptr inbounds double, double* %0, i64 %3";25740496;25741008;9
1482463569482456;"  %41 = getelementptr inbounds double, double* %0, i64 %3";7242960;7243472;9
1482463569517615;"  %41 = getelementptr inbounds double, double* %0, i64 %3";25797840;25798352;9
1482463569553561;"  %41 = getelementptr inbounds double, double* %0, i64 %3";21488848;21489360;9
1482463569592858;"  %41 = getelementptr inbounds double, double* %0, i64 %3";22308048;22308560;9
1482463569633020;"  %41 = getelementptr inbounds double, double* %0, i64 %3";13337808;13338320;9
1482463569673535;"  %41 = getelementptr inbounds double, double* %0, i64 %3";35026128;35026640;9
1482463569710548;"  %41 = getelementptr inbounds double, double* %0, i64 %3";21435600;21436112;9
1482463569750563;"  %41 = getelementptr inbounds double, double* %0, i64 %3";8062160;8062672;9
1482463569789209;"  %41 = getelementptr inbounds double, double* %0, i64 %3";16938192;16938704;9
1482463569826237;"  %41 = getelementptr inbounds double, double* %0, i64 %3";28001488;28002000;9
1482463569862209;"  %41 = getelementptr inbounds double, double* %0, i64 %3";11740368;11740880;9
