exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
1482463569057359,"  %41 = getelementptr inbounds double# double* %0# i64 %3",15398096,15398608,9,0,1,0,0,0.0,174783,0
1482463569092052,"  %41 = getelementptr inbounds double# double* %0# i64 %3",8180944,8181456,9,0,1,0,0,0.0,174783,0
1482463569126318,"  %41 = getelementptr inbounds double# double* %0# i64 %3",33453264,33453776,9,0,1,0,0,0.0,174783,0
1482463569161361,"  %41 = getelementptr inbounds double# double* %0# i64 %3",17913040,17913552,9,0,1,0,0,0.0,174783,0
1482463569196558,"  %41 = getelementptr inbounds double# double* %0# i64 %3",15267024,15267536,9,0,1,0,0,0.0,174783,0
1482463569232194,"  %41 = getelementptr inbounds double# double* %0# i64 %3",18351312,18351824,9,0,1,0,0,0.0,174783,0
1482463569267286,"  %41 = getelementptr inbounds double# double* %0# i64 %3",10347728,10348240,9,0,1,0,0,0.0,174783,0
1482463569302926,"  %41 = getelementptr inbounds double# double* %0# i64 %3",38188240,38188752,9,0,1,0,0,0.0,174783,0
1482463569338623,"  %41 = getelementptr inbounds double# double* %0# i64 %3",13452496,13453008,9,0,1,0,0,0.0,174783,0
1482463569372948,"  %41 = getelementptr inbounds double# double* %0# i64 %3",34800848,34801360,9,0,1,0,0,0.0,174783,0
1482463569410920,"  %41 = getelementptr inbounds double# double* %0# i64 %3",33174736,33175248,9,0,1,0,0,0.0,174783,0
1482463569447116,"  %41 = getelementptr inbounds double# double* %0# i64 %3",25740496,25741008,9,0,1,0,0,0.0,174783,0
1482463569482456,"  %41 = getelementptr inbounds double# double* %0# i64 %3",7242960,7243472,9,0,1,0,0,0.0,174783,0
1482463569517615,"  %41 = getelementptr inbounds double# double* %0# i64 %3",25797840,25798352,9,0,1,0,0,0.0,174783,0
1482463569553561,"  %41 = getelementptr inbounds double# double* %0# i64 %3",21488848,21489360,9,0,1,0,0,0.0,174783,0
1482463569592858,"  %41 = getelementptr inbounds double# double* %0# i64 %3",22308048,22308560,9,0,1,0,0,0.0,174783,0
1482463569633020,"  %41 = getelementptr inbounds double# double* %0# i64 %3",13337808,13338320,9,0,1,0,0,0.0,174783,0
1482463569673535,"  %41 = getelementptr inbounds double# double* %0# i64 %3",35026128,35026640,9,0,1,0,0,0.0,174783,0
1482463569710548,"  %41 = getelementptr inbounds double# double* %0# i64 %3",21435600,21436112,9,0,1,0,0,0.0,174783,0
1482463569750563,"  %41 = getelementptr inbounds double# double* %0# i64 %3",8062160,8062672,9,0,1,0,0,0.0,174783,0
1482463569789209,"  %41 = getelementptr inbounds double# double* %0# i64 %3",16938192,16938704,9,0,1,0,0,0.0,174783,0
1482463569826237,"  %41 = getelementptr inbounds double# double* %0# i64 %3",28001488,28002000,9,0,1,0,0,0.0,174783,0
1482463569862209,"  %41 = getelementptr inbounds double# double* %0# i64 %3",11740368,11740880,9,0,1,0,0,0.0,174783,0
1482463569899978,"  %41 = getelementptr inbounds double# double* %0# i64 %3",34686160,34686672,9,0,1,0,0,0.0,174783,0
1482463569936275,"  %41 = getelementptr inbounds double# double* %0# i64 %3",37237968,37238480,9,0,1,0,0,0.0,174783,0
1482463569975810,"  %41 = getelementptr inbounds double# double* %0# i64 %3",38192336,38192848,9,0,1,0,0,0.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
Not Available,,,,,0,0,1,0,1.0,174783,0
