Time;"Instr_Nam";Original_Value;Corrupted_Value;Bit_Position
1482524930007808;"  %41 = getelementptr inbounds double, double* %0, i64 %3";12585032;68732061768;36
1482524930333482;"  %41 = getelementptr inbounds double, double* %0, i64 %3";39712840;68759189576;36
1482524930531719;"  %41 = getelementptr inbounds double, double* %0, i64 %3";30423112;68749899848;36
1482524930739011;"  %41 = getelementptr inbounds double, double* %0, i64 %3";19478600;68738955336;36
1482524930939609;"  %41 = getelementptr inbounds double, double* %0, i64 %3";35485768;68754962504;36
1482524931144098;"  %48 = getelementptr inbounds double, double* %0, i64 %4";36867320;36867832;9
1482524931266020;"  %48 = getelementptr inbounds double, double* %0, i64 %4";19442936;19443448;9
1482524931388263;"  %48 = getelementptr inbounds double, double* %0, i64 %4";27446520;27447032;9
1482524931507211;"  %48 = getelementptr inbounds double, double* %0, i64 %4";35085560;35086072;9
1482524931629523;"  %48 = getelementptr inbounds double, double* %0, i64 %4";10591480;10591992;9
1482524931890116;"  %43 = getelementptr double, double* %castinttoptr21, i64 %relidx_2";26792200;26792712;9
1482524932012768;"  %22 = getelementptr double, double* %castinttoptr6, i64 %relidx_1";7615896;4503599634986392;52
1482524932237576;"  %22 = getelementptr double, double* %castinttoptr6, i64 %relidx_1";19043736;4503599646414232;52
1482524932462739;"  %22 = getelementptr double, double* %castinttoptr6, i64 %relidx_1";30123416;4503599657493912;52
1482524932690135;"  %22 = getelementptr double, double* %castinttoptr6, i64 %relidx_1";24941976;4503599652312472;52
1482524932915533;"  %22 = getelementptr double, double* %castinttoptr6, i64 %relidx_1";38368664;4503599665739160;52
1482524933141521;"  %47 = getelementptr double, double* %castinttoptr24, i64 %relidx_2";33862480;17592219906896;44
1482524933338059;"  %47 = getelementptr double, double* %castinttoptr24, i64 %relidx_2";31736656;17592217781072;44
1482524933536654;"  %47 = getelementptr double, double* %castinttoptr24, i64 %relidx_2";15885136;17592201929552;44
1482524933739068;"  %47 = getelementptr double, double* %castinttoptr24, i64 %relidx_2";33690448;17592219734864;44
1482525072900072;"  %50 = getelementptr inbounds double, double* %0, i64 %4";16347632;137455301104;37
1482525073096462;"  %50 = getelementptr inbounds double, double* %0, i64 %4";21620016;4503599648990512;52
1482525073283145;"  %50 = getelementptr inbounds double, double* %0, i64 %4";12207408;4503599639577904;52
1482525073475028;"  %50 = getelementptr inbounds double, double* %0, i64 %4";18162992;4503599645533488;52
1482525073663465;"  %50 = getelementptr inbounds double, double* %0, i64 %4";15689008;4503599643059504;52
1482525073852100;"  %50 = getelementptr inbounds double, double* %0, i64 %4";12637488;4503599640007984;52
1482525074041078;"  %32 = getelementptr inbounds double, double* %0, i64 %2";9386440;2305843009223080392;61
1482525074269612;"  %32 = getelementptr inbounds double, double* %0, i64 %2";26552776;2305843009240246728;61
1482525074498515;"  %32 = getelementptr inbounds double, double* %0, i64 %2";23333320;2305843009237027272;61
1482525074729985;"  %32 = getelementptr inbounds double, double* %0, i64 %2";29096392;2305843009242790344;61
1482525075038542;"  %40 = getelementptr double, double* %castinttoptr9, i64 %relidx_1";11217520;11151984;16
1482525075242953;"  %40 = getelementptr double, double* %castinttoptr9, i64 %relidx_1";38902384;38836848;16
