exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1482524931890116,"  %43 = getelementptr double# double* %castinttoptr21# i64 %relidx_2",26792200,26792712,9,1,0,0,0,2848.878132,1972097,2
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
1482525075439328,"  %40 = getelementptr double# double* %castinttoptr9# i64 %relidx_1",7223920,7289456,16,1,0,0,0,117.573604,1972097,2
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
1482525536123117,"  %49 = getelementptr double# double* %castinttoptr15# i64 %relidx_2",28279528,28279520,3,1,0,0,0,3401.263727,1972097,2
1482525536426357,"  %49 = getelementptr double# double* %castinttoptr15# i64 %relidx_2",28742376,28742368,3,1,0,0,0,3401.263727,1972097,2
1482525536643855,"  %49 = getelementptr double# double* %castinttoptr15# i64 %relidx_2",39936744,39936736,3,1,0,0,0,3401.263727,1972097,2
1482525536874639,"  %49 = getelementptr double# double* %castinttoptr15# i64 %relidx_2",19841768,19841760,3,1,0,0,0,3401.263727,1972097,2
1482525537144651,"  %29 = getelementptr double# double* %phibase_9# i64 %relidx_1",11207040,11207072,5,1,0,0,0,2675.354261,1972097,2
1482525537428946,"  %29 = getelementptr double# double* %phibase_9# i64 %relidx_1",9765248,9765280,5,1,0,0,0,2675.354261,1972097,2
1482525537663072,"  %29 = getelementptr double# double* %phibase_9# i64 %relidx_1",16974208,16974240,5,1,0,0,0,2675.354261,1972097,2
1482525537906580,"  %29 = getelementptr double# double* %phibase_9# i64 %relidx_1",37663104,37663136,5,1,0,0,0,2675.354261,1972097,2
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
