exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
1482524931144098,"  %48 = getelementptr inbounds double# double* %0# i64 %4",36867320,36867832,9,1,0,0,0,0.17489,1972096,0
1482524931266020,"  %48 = getelementptr inbounds double# double* %0# i64 %4",19442936,19443448,9,1,0,0,0,0.17489,1972096,0
1482524931388263,"  %48 = getelementptr inbounds double# double* %0# i64 %4",27446520,27447032,9,1,0,0,0,0.17489,1972096,0
1482524931507211,"  %48 = getelementptr inbounds double# double* %0# i64 %4",35085560,35086072,9,1,0,0,0,0.17489,1972096,0
1482524931629523,"  %48 = getelementptr inbounds double# double* %0# i64 %4",10591480,10591992,9,1,0,0,0,0.17489,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
1482525514176399,"  %57 = getelementptr inbounds double# double* %0# i64 %5",27840616,27836520,12,1,0,0,0,0.320628,1972096,0
1482525514305005,"  %57 = getelementptr inbounds double# double* %0# i64 %5",23429224,23433320,12,1,0,0,0,1.263417,1972096,0
1482525514433017,"  %57 = getelementptr inbounds double# double* %0# i64 %5",34357352,34361448,12,1,0,0,0,1.263417,1972096,0
1482525514557946,"  %57 = getelementptr inbounds double# double* %0# i64 %5",24633448,24637544,12,1,0,0,0,1.263417,1972096,0
1482525514686827,"  %57 = getelementptr inbounds double# double* %0# i64 %5",18620520,18624616,12,1,0,0,0,1.263417,1972096,0
1482525514810927,"  %57 = getelementptr inbounds double# double* %0# i64 %5",14131304,14135400,12,1,0,0,0,1.263417,1972096,0
1482525514934866,"  %57 = getelementptr inbounds double# double* %0# i64 %5",15880296,15876200,12,1,0,0,0,0.320628,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
1482525517408226,"  %32 = getelementptr inbounds double# double* %0# i64 %2",26038448,26169520,17,1,0,0,0,1.457968,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
