exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
1482525524820695,"  %43 = getelementptr double# double* %castinttoptr18# i64 %relidx_2",13374920,13505992,17,1,0,0,0,973.344699,1972097,2
1482525524968174,"  %43 = getelementptr double# double* %castinttoptr18# i64 %relidx_2",13723080,13854152,17,1,0,0,0,973.344699,1972097,2
1482525525115502,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",39481808,39481816,3,1,0,0,0,3077.879075,1972097,2
1482525525261424,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",17584592,17584600,3,1,0,0,0,3077.879075,1972097,2
1482525525399839,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",9998800,9998808,3,1,0,0,0,3077.879075,1972097,2
1482525525530495,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",18489808,18489816,3,1,0,0,0,3077.879075,1972097,2
1482525525657429,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",17945040,17945048,3,1,0,0,0,3077.879075,1972097,2
1482525525783468,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",21406160,21406168,3,1,0,0,0,3077.879075,1972097,2
1482525525909469,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",12128720,12128728,3,1,0,0,0,3077.879075,1972097,2
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
1482525536303248,"  %40 = getelementptr double# double* %castinttoptr15# i64 %relidx_2",26694376,26694368,3,1,0,0,0,3401.263727,1972097,2
1482525536505583,"  %40 = getelementptr double# double* %castinttoptr15# i64 %relidx_2",25907944,25907936,3,1,0,0,0,3401.263727,1972097,2
1482525536789145,"  %40 = getelementptr double# double* %castinttoptr15# i64 %relidx_2",16167656,16167648,3,1,0,0,0,3401.263727,1972097,2
1482525537003360,"  %20 = getelementptr double# double* %phibase_3# i64 %relidx_1",28479872,28479904,5,1,0,0,0,2675.354261,1972097,2
1482525537224342,"  %20 = getelementptr double# double* %phibase_3# i64 %relidx_1",9728384,9728416,5,1,0,0,0,2675.354261,1972097,2
1482525537467554,"  %20 = getelementptr double# double* %phibase_3# i64 %relidx_1",11534720,11534752,5,1,0,0,0,2675.354261,1972097,2
1482525537797576,"  %20 = getelementptr double# double* %phibase_3# i64 %relidx_1",10678656,10678688,5,1,0,0,0,2675.354261,1972097,2
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
1482525540286935,"  %40 = getelementptr double# double* %castinttoptr15# i64 %relidx_2",14766120,6377512,23,1,0,0,0,1076.156409,1972097,2
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
1482525541545813,"  %31 = getelementptr double# double* %castinttoptr9# i64 %relidx_1",29255072,29255076,2,1,0,0,0,1.03599646496e+306,1972097,2
1482525541767158,"  %31 = getelementptr double# double* %castinttoptr9# i64 %relidx_1",38917536,38917540,2,1,0,0,0,1.03599646496e+306,1972097,2
1482525541976781,"  %31 = getelementptr double# double* %castinttoptr9# i64 %relidx_1",29742496,29742500,2,1,0,0,0,1.03599646496e+306,1972097,2
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
1482525544425524,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",20973144,20973145,0,1,0,0,0,7.65768290312e+307,1972097,2
1482525544758178,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",16451160,16451161,0,1,0,0,0,7.65768290312e+307,1972097,2
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
1482525547055543,"  %26 = getelementptr double# double* %castinttoptr6# i64 %relidx_1",25900192,25900194,1,1,0,0,0,7244.527491,1972097,2
1482525547185771,"  %26 = getelementptr double# double* %castinttoptr6# i64 %relidx_1",26404000,26404002,1,1,0,0,0,7244.527491,1972097,2
1482525547313429,"  %26 = getelementptr double# double* %castinttoptr6# i64 %relidx_1",30868640,30868642,1,1,0,0,0,7244.527491,1972097,2
1482525547442721,"  %26 = getelementptr double# double* %castinttoptr6# i64 %relidx_1",15000736,15000738,1,1,0,0,0,7244.527491,1972097,2
1482525547572989,"  %26 = getelementptr double# double* %castinttoptr6# i64 %relidx_1",33850528,33850530,1,1,0,0,0,7244.527491,1972097,2
1482525547702536,"  %26 = getelementptr double# double* %castinttoptr6# i64 %relidx_1",10146976,10146978,1,1,0,0,0,7244.527491,1972097,2
1482525547829603,"  %26 = getelementptr double# double* %castinttoptr6# i64 %relidx_1",8959136,8959138,1,1,0,0,0,7244.527491,1972097,2
1482525547957270,"  %26 = getelementptr double# double* %castinttoptr6# i64 %relidx_1",11621536,11621538,1,1,0,0,0,7244.527491,1972097,2
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
1482525549105248,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",34804728,34804732,2,1,0,0,0,1.44174097226e+308,1972097,2
1482525549286762,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",10691576,10691580,2,1,0,0,0,1.44174097226e+308,1972097,2
1482525549466507,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",32895992,32895996,2,1,0,0,0,1.44174097226e+308,1972097,2
1482525549647369,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",23679992,23679996,2,1,0,0,0,1.44174097226e+308,1972097,2
1482525549831670,"  %35 = getelementptr double# double* %castinttoptr12# i64 %relidx_1",27210744,27210748,2,1,0,0,0,1.44174097226e+308,1972097,2
Not Available,,,,,0,0,1,0,1.0,1972097,0
Not Available,,,,,0,0,1,0,1.0,1972097,0
