exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
1482525502051176,"  %32 = getelementptr inbounds double# double* %0# i64 %2",39660432,39693200,15,1,0,0,0,0.303764,1972096,0
1482525502174795,"  %32 = getelementptr inbounds double# double* %0# i64 %2",23407504,23440272,15,1,0,0,0,0.303764,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
1482525502695176,"  %32 = getelementptr inbounds double# double* %0# i64 %2",10042256,10075024,15,1,0,0,0,0.303764,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
1482525503014633,"  %44 = getelementptr inbounds double# double* %0# i64 %3",23568344,23568216,7,1,0,0,0,0.368453,1972096,0
1482525503137088,"  %44 = getelementptr inbounds double# double* %0# i64 %3",28266456,28266328,7,1,0,0,0,0.368453,1972096,0
1482525503257508,"  %44 = getelementptr inbounds double# double* %0# i64 %3",16855000,16854872,7,1,0,0,0,0.368453,1972096,0
1482525503383716,"  %44 = getelementptr inbounds double# double* %0# i64 %3",22613976,22613848,7,1,0,0,0,0.368453,1972096,0
1482525503505809,"  %44 = getelementptr inbounds double# double* %0# i64 %3",8601560,8601432,7,1,0,0,0,0.368453,1972096,0
1482525503624303,"  %44 = getelementptr inbounds double# double* %0# i64 %3",17215448,17215320,7,1,0,0,0,0.368453,1972096,0
1482525503745994,"  %44 = getelementptr inbounds double# double* %0# i64 %3",35930072,35929944,7,1,0,0,0,0.368453,1972096,0
1482525503863206,"  %44 = getelementptr inbounds double# double* %0# i64 %3",9277400,9277272,7,1,0,0,0,0.368453,1972096,0
1482525503984894,"  %44 = getelementptr inbounds double# double* %0# i64 %3",21688280,21688152,7,1,0,0,0,0.368453,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
Not Available,,,,,0,0,1,0,1.0,1972096,0
