instruction_name,file_name,line_no,is_vector
"  %26 = getelementptr inbounds double# double* %1# i64 %25",,,0
"  %30 = getelementptr inbounds double# double* %1# i64 %29",,,0
"  %34 = getelementptr inbounds double# double* %1# i64 %33",,,0
"  %47 = getelementptr inbounds double# double* %1# i64 %46",,,0
"  %50 = getelementptr inbounds double# double* %1# i64 %49",,,0
"  %61 = getelementptr inbounds double# double* %1# i64 %60",,,0
"  %65 = getelementptr inbounds double# double* %1# i64 %64",,,0
"  %69 = getelementptr inbounds double# double* %1# i64 %68",,,0
"  %26 = getelementptr inbounds double# double* %1# i64 %25",,,0
"  %30 = getelementptr inbounds double# double* %1# i64 %29",,,0
"  %34 = getelementptr inbounds double# double* %1# i64 %33",,,0
"  %47 = getelementptr inbounds double# double* %1# i64 %46",,,0
"  %50 = getelementptr inbounds double# double* %1# i64 %49",,,0
"  %61 = getelementptr inbounds double# double* %1# i64 %60",,,0
"  %65 = getelementptr inbounds double# double* %1# i64 %64",,,0
"  %69 = getelementptr inbounds double# double* %1# i64 %68",,,0
