instruction_name,file_name,line_no,is_vector
"  %9 = getelementptr inbounds double# double* %1# i64 %8",,,0
"  %20 = getelementptr inbounds double# double* %1# i64 %19",,,0
"  %22 = getelementptr inbounds double# double* %2# i64 %19",,,0
"  %25 = getelementptr inbounds double# double* %2# i64 %24",,,0
"  %44 = getelementptr inbounds double# double* %0# i64 %43",,,0
"  %47 = getelementptr inbounds double# double* %2# i64 %46",,,0
"  %50 = getelementptr inbounds double# double* %2# i64 %49",,,0
"  %69 = getelementptr inbounds double# double* %2# i64 %68",,,0
"  %73 = getelementptr inbounds double# double* %0# i64 %72",,,0
"  %75 = getelementptr inbounds double# double* %0# i64 %71",,,0
"  %79 = getelementptr inbounds double# double* %1# i64 %78",,,0
"  %82 = getelementptr inbounds double# double* %1# i64 %68",,,0
