instruction_name,file_name,line_no,is_vector
"  %174 = getelementptr inbounds double# double* %0# i64 %173",,,0
"  %179 = getelementptr inbounds double# double* %0# i64 %178",,,0
"  %187 = getelementptr inbounds double# double* %0# i64 %186",,,0
"  %190 = getelementptr inbounds double# double* %0# i64 %189",,,0
"  %202 = getelementptr inbounds double# double* %0# i64 %201",,,0
"  %207 = getelementptr inbounds double# double* %0# i64 %206",,,0
"  %211 = getelementptr inbounds double# double* %0# i64 %210",,,0
"  %89 = getelementptr inbounds double# double* %0# i64 %88",,,0
"  %93 = getelementptr inbounds double# double* %0# i64 %92",,,0
"  %136 = getelementptr inbounds double# double* %0# i64 %135",,,0
"  %145 = getelementptr inbounds double# double* %0# i64 %144",,,0
"  %150 = getelementptr inbounds double# double* %0# i64 %149",,,0
"  %24 = getelementptr inbounds double# double* %0# i64 %23",,,0
"  %29 = getelementptr inbounds double# double* %0# i64 %28",,,0
"  %45 = getelementptr inbounds double# double* %0# i64 %44",,,0
"  %50 = getelementptr inbounds double# double* %0# i64 %49",,,0
"  %54 = getelementptr inbounds double# double* %0# i64 %53",,,0
"  %63 = getelementptr inbounds double# double* %0# i64 %62",,,0
"  %66 = getelementptr inbounds double# double* %0# i64 %65",,,0
"  %69 = getelementptr inbounds double# double* %0# i64 %68",,,0
"  %74 = getelementptr inbounds double# double* %0# i64 %73",,,0
"  %77 = getelementptr inbounds double# double* %0# i64 %76",,,0
"  %257 = getelementptr inbounds double# double* %0# i64 %256",,,0
"  %266 = getelementptr inbounds double# double* %0# i64 %265",,,0
"  %271 = getelementptr inbounds double# double* %0# i64 %270",,,0
"  %290 = getelementptr inbounds double# double* %0# i64 4031",,,0
"  %292 = getelementptr inbounds double# double* %0# i64 4030",,,0
"  %295 = getelementptr inbounds double# double* %0# i64 4095",,,0
"  %297 = getelementptr inbounds double# double* %0# i64 4094",,,0
