instruction_name,file_name,line_no,is_vector
"  %newgep_ = getelementptr double# double* %phibase_1# i64 %relidx_",,,0
"  %newgep_12 = getelementptr double# double* %phibase_3# i64 %relidx_11",,,0
"  %newgep_14 = getelementptr double# double* %newgep_12# i64 %relidx_13",,,0
"  %newgep_16 = getelementptr double# double* %newgep_14# i64 %relidx_15",,,0
"  %newgep_18 = getelementptr double# double* %newgep_16# i64 %relidx_17",,,0
"  %newgep_20 = getelementptr double# double* %newgep_18# i64 %relidx_19",,,0
"  %newgep_22 = getelementptr double# double* %newgep_20# i64 %relidx_21",,,0
"  %newgep_24 = getelementptr double# double* %newgep_22# i64 %relidx_23",,,0
"  %newgep_26 = getelementptr double# double* %newgep_24# i64 %relidx_25",,,0
"  %duprsltadr_ = getelementptr double# double* %0# i64 %phidx_10",,,0
